Text 1,Text 2,Cosine Similarity
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Machine learning allows computers to learn patterns from data without being explicitly programmed.,0.5981
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Natural language processing helps computers understand and generate human language.,0.5728
Economic growth refers to an increase in the production of goods and services in an economy.,Inflation is a general increase in the prices of goods and services over time.,0.5353
The Earth revolves around the Sun and completes one orbit approximately every 365 days.,The Moon is Earth's natural satellite and takes about 27 days to orbit Earth.,0.515
The internet allows computers and people around the world to exchange information rapidly.,Online education allows students to learn through digital platforms from different locations.,0.5049
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Deep learning uses neural networks with multiple layers to process complex information.,0.4923
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Natural language processing helps computers understand and generate human language.,0.4843
Machine learning allows computers to learn patterns from data without being explicitly programmed.,Deep learning uses neural networks with multiple layers to process complex information.,0.4751
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.4251
Deep learning uses neural networks with multiple layers to process complex information.,Natural language processing helps computers understand and generate human language.,0.4056
Deep learning uses neural networks with multiple layers to process complex information.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.4046
Climate change is causing long-term changes in global temperatures and weather patterns.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.4035
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,Photosynthesis allows green plants to convert light energy into chemical energy.,0.3862
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,The internet allows computers and people around the world to exchange information rapidly.,0.3705
Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,0.3667
Natural language processing helps computers understand and generate human language.,The internet allows computers and people around the world to exchange information rapidly.,0.3548
Natural language processing helps computers understand and generate human language.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.327
Climate change is causing long-term changes in global temperatures and weather patterns.,Renewable energy sources such as solar and wind can reduce dependence on fossil fuels.,0.3191
Climate change is causing long-term changes in global temperatures and weather patterns.,The Earth revolves around the Sun and completes one orbit approximately every 365 days.,0.3178
The internet allows computers and people around the world to exchange information rapidly.,"Books provide information, knowledge, and entertainment to readers.",0.3151
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,Cybersecurity protects computer systems and networks from unauthorized access and attacks.,0.3048
Artificial intelligence enables computers to perform tasks that normally require human intelligence.,The human brain contains billions of neurons that communicate through electrical and chemical signals.,0.2914
Deforestation contributes to biodiversity loss and increases carbon dioxide levels in the atmosphere.,"Water is essential for life and is found in oceans, rivers, lakes, glaciers, and underground sources.",0.2887
Machine learning allows computers to learn patterns from data without being explicitly programmed.,The internet allows computers and people around the world to exchange information rapidly.,0.2811
